punto,metodo,rol_metodo,modo_evaluacion,led_evaluado,tipo_led,f_ref_kHz,f_evaluada_kHz,delta_kHz,semiancho_busqueda_kHz,score_dB,ON_prom_dB,OFF_prom_dB,rep_0dB,rep_3dB,rep_total,criterio_dB,supera_3dB,interpretacion,score_rep1_dB,score_rep2_dB,score_rep3_dB
P1,Periodograma,Principal,Referencia fija,LED 1,Principal en P1,45.642,45.64,-0.00200000000000244,0,4.40913357895915,-134.679545052088,-139.088678631047,2,2,3,3,No,Indicio parcial,7.11418625436102,-1.47429734187295,7.5875118243894
P1,Periodograma,Principal,Referencia fija,LED 2,Influencia secundaria esperada,40.623,40.625,0.00200000000000244,0,-0.44265953701003,-136.025247260188,-135.582587723178,1,0,3,3,No,No confirmado,1.91738964509346,-0.625016025555482,-2.62035223056807
P1,Welch,Complementario,Busqueda local,LED 1,Principal en P1,45.642,45.3472137451172,-0.294786254882816,1,3.5845608862751,-132.075816194286,-135.660377080562,3,3,3,3,Si,Confirmado,3.22592624063606,4.26972553368344,3.47176023767258
P1,Welch,Complementario,Busqueda local,LED 2,Influencia secundaria esperada,40.623,40.9126281738281,0.289628173828127,1,2.44815142136799,-133.172836323685,-135.620987745053,3,0,3,3,No,Indicio debil,2.97937321468609,2.39917728130416,1.96590376811372
P1,Multitaper,Complementario,Busqueda local,LED 1,Principal en P1,45.642,45.3472137451172,-0.294786254882816,1,4.52526691563711,-132.421987527392,-136.947254443029,3,3,3,3,Si,Confirmado,5.76424364634374,6.70546825291743,4.1103120435379
P1,Multitaper,Complementario,Busqueda local,LED 2,Influencia secundaria esperada,40.623,39.6251678466797,-0.99783215332031,1,4.50749232484324,-133.257271738843,-137.764764063687,3,2,3,3,No,Indicio parcial,4.92892046926391,2.00074053931223,6.70042018015064
