fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_3dB,rep_totales,supera_3dB
40912.6281738281,40.9126281738281,1.83832426015425,40912.6281738281,40.9126281738281,1.83832426015425,-133.782663484899,-135.620987745053,3,1,3,0
41532.5164794922,41.5325164794922,1.52303375208599,41532.5164794922,41.5325164794922,1.52303375208599,-134.01582596783,-135.538859719916,3,0,3,0
40054.3212890625,40.0543212890625,1.41332114367059,40054.3212890625,40.0543212890625,1.41332114367059,-132.010804928096,-133.424126071766,2,1,3,0
