Metodo,fc_local_Hz,fc_local_kHz,score_local_dB,ON_dB,OFF_dB,supera_3dB,desv_abs_kHz,desv_relativa_pct,dentro_tolerancia
Periodograma,56285.6941859677,56.2856941859677,16.7410809166543,-125.525568504092,-142.266649420746,1,0.758925556490583,1.33040689887484,1
Welch,57704.0000023447,57.7040000023447,18.4302643290939,-127.849849260728,-146.280113589822,1,0.659380259886391,1.15590263001721,1
Multitaper local,57144.1650390625,57.1441650390625,4.33264926562316,-132.835095467257,-137.16774473288,1,0.0995452966041921,0.17450426885763,1
