fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_3dB,rep_totales,supera_3dB
57172.7752685547,57.1727752685547,4.02785414328172,57172.7752685547,57.1727752685547,4.02785414328172,-132.132848312165,-136.160702455447,3,3,3,1
57363.5101318359,57.3635101318359,3.42860230903371,57363.5101318359,57.3635101318359,3.42860230903371,-133.349641975548,-136.778244284582,3,3,3,1
56743.6218261719,56.7436218261719,3.25104086432395,56743.6218261719,56.7436218261719,3.25104086432395,-133.524184379832,-136.775225244156,3,3,3,1
56934.3566894531,56.9343566894531,2.62499631653444,56934.3566894531,56.9343566894531,2.62499631653444,-135.331386650628,-137.956382967162,3,3,3,0
58031.0821533203,58.0310821533203,2.58912209316311,58031.0821533203,58.0310821533203,2.58912209316311,-133.922452587828,-136.511574680991,3,3,3,0
57840.3472900391,57.8403472900391,1.92295126377284,57840.3472900391,57.8403472900391,1.92295126377284,-134.402587622625,-136.325538886397,3,2,3,0
58221.8170166016,58.2218170166016,1.51417260718261,58221.8170166016,58.2218170166016,1.51417260718261,-135.146411658755,-136.660584265938,3,2,3,0
