punto,led,metodo,ranking,fc_kHz,score_dB,ON_prom_dB,OFF_prom_dB,rep_0dB,rep_3dB,rep_total,supera_3dB
P3,LED terreno 3,Periodograma,1,57.6580000023428,19.4848306577167,-128.297318445011,-147.782149102727,3,3,3,Si
P3,LED terreno 3,Periodograma,2,58.6430000023829,18.48854918143,-130.932929607941,-149.421478789371,3,3,3,Si
P3,LED terreno 3,Periodograma,3,80.0760000032538,18.1216153092508,-127.750706032333,-145.872321341584,3,3,3,Si
P3,LED terreno 3,Periodograma,4,45.6420000018546,17.3074154236469,-130.71625182316,-148.023667246807,3,3,3,Si
P3,LED terreno 3,Periodograma,5,55.5870000022587,17.1165336808856,-127.306209181096,-144.422742861981,3,3,3,Si
P3,LED terreno 3,Periodograma,6,74.56900000303,17.0397400590449,-126.968268802762,-144.008008861807,3,3,3,Si
P3,LED terreno 3,Periodograma,7,37.0940000015073,16.8361249346572,-128.252073635678,-145.088198570335,3,3,3,Si
