fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_3dB,rep_totales,supera_3dB
45347.2137451172,45.3472137451172,3.58456088627511,45347.2137451172,45.3472137451172,3.58456088627511,-132.075816194286,-135.660377080562,3,2,3,0
67567.8253173828,67.5678253173828,3.29648935598058,67567.8253173828,67.5678253173828,3.29648935598058,-134.139769575171,-137.436258931152,3,2,3,0
80156.3262939453,80.1563262939453,2.77843655368306,80156.3262939453,80.1563262939453,2.77843655368306,-134.375647852131,-137.154084405814,3,1,3,0
52785.8734130859,52.7858734130859,2.59247269650916,52785.8734130859,52.7858734130859,2.59247269650916,-134.16176341745,-136.754236113959,3,2,3,0
59032.4401855469,59.0324401855469,2.48440692196641,59032.4401855469,59.0324401855469,2.48440692196641,-133.432932040746,-135.917338962712,3,1,3,0
40912.6281738281,40.9126281738281,2.44815142136798,40912.6281738281,40.9126281738281,2.44815142136798,-133.172836323685,-135.620987745053,3,1,3,0
55789.9475097656,55.7899475097656,2.26001157661088,55789.9475097656,55.7899475097656,2.26001157661088,-133.893850781275,-136.153862357886,3,1,3,0
