fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas_0dB,rep_positivas_3dB,rep_totales,supera_3dB
44581.0000018115,44.5810000018115,2.18464522956586,44581.0000018115,44.5810000018115,2.18464522956586,-129.46081307462,-131.645458304186,3,1,4,No
44456.0000018064,44.4560000018064,1.9180589046353,44456.0000018064,44.4560000018064,1.9180589046353,-130.551137790833,-132.469196695469,4,1,4,No
46012.0000018696,46.0120000018696,1.87596330516689,46012.0000018696,46.0120000018696,1.87596330516689,-129.541993027012,-131.417956332179,4,2,4,No
45338.0000018422,45.3380000018422,1.67867479873999,45338.0000018422,45.3380000018422,1.67867479873999,-128.722996154363,-130.401670953103,3,1,4,No
46265.0000018799,46.2650000018799,1.60467034519991,46265.0000018799,46.2650000018799,1.60467034519991,-129.467526602826,-131.072196948026,3,1,4,No
45734.0000018583,45.7340000018583,1.58546470883039,45734.0000018583,45.7340000018583,1.58546470883039,-129.261158895198,-130.846623604028,4,0,4,No
46113.0000018737,46.1130000018737,1.4580037668419,46113.0000018737,46.1130000018737,1.4580037668419,-129.883312818556,-131.341316585398,4,0,4,No
