punto,led,metodo,ranking,fc_kHz,score_dB,ON_prom_dB,OFF_prom_dB,rep_0dB,rep_3dB,rep_total,supera_3dB
P1,LED terreno 1,Periodograma,1,45.6420000018546,20.8354129870223,-127.188254259784,-148.023667246807,3,3,3,Si
P1,LED terreno 1,Periodograma,2,48.9830000019903,19.2372796714374,-128.713837322502,-147.95111699394,3,3,3,Si
P1,LED terreno 1,Periodograma,3,52.7850000021448,18.8521279445684,-127.312491245871,-146.164619190439,3,3,3,Si
P1,LED terreno 1,Periodograma,4,67.3890000027382,18.849000629384,-130.06164261882,-148.910643248204,3,3,3,Si
P1,LED terreno 1,Periodograma,5,81.4410000033092,18.7113688323814,-127.439573725554,-146.150942557936,3,3,3,Si
P1,LED terreno 1,Periodograma,6,82.8410000033661,18.6598437973279,-130.408826749623,-149.068670546951,3,3,3,Si
P1,LED terreno 1,Periodograma,7,55.9310000022727,17.0748814202562,-130.73835128732,-147.813232707576,3,3,3,Si
