fc_kHz,score_peak,ON_dB,OFF_dB,rep_0dB,rep_3dB,rep_total,supera_3dB
35.6608629226685,4.59603666221452,-127.428737551532,-128.61431552817,4,2,4,Si
37.5843048095703,4.25183554359552,-125.546583312123,-131.73354873452,4,2,4,Si
63.1422996520996,4.11053485081578,-126.123830978744,-132.256768139645,4,2,4,Si
35.1401567459107,3.92228449161626,-125.899869388172,-131.136044679067,4,3,4,Si
59.1902732849121,3.91610828449878,-127.599967292398,-130.488355220631,4,2,4,Si
75.4998922348023,3.87785194057299,-128.125860205298,-130.615841163011,4,3,4,Si
37.1562242507935,3.84104851756438,-125.937445357367,-128.86489878111,4,2,4,Si
56.0827255249024,3.78948747569248,-126.893612092356,-130.246366948041,4,2,4,Si
58.8122606277466,3.77946971691789,-126.907440369773,-129.313811002266,4,1,4,Si
53.0819892883301,3.76985566040402,-128.428302360654,-130.166023721838,4,2,4,Si
44.6238517761231,3.60809302458823,-127.927406017685,-129.367113039281,4,2,4,Si
