LED,fc_ref_kHz,fc_det_kHz,score_dB,ON_dB,OFF_dB,rep_0dB,rep_3dB,rep_total,supera_3dB,err_kHz,err_pct
LED 1,56.513,56.0827255249024,3.78948747569248,-126.893612092356,-130.246366948041,4,2,4,Si,0.430274475097647,0.761372560468648
LED 2,44.926,44.6238517761231,3.60809302458823,-127.927406017685,-129.367113039281,4,2,4,Si,0.302148223876948,0.672546462798709
