fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_3dB,rep_totales,supera_3dB
45347.2137451172,45.3472137451172,4.52526691563711,45347.2137451172,45.3472137451172,4.52526691563711,-132.421987527392,-136.947254443029,3,3,3,1
45633.3160400391,45.6333160400391,3.91776712014538,45633.3160400391,45.6333160400391,3.91776712014538,-133.301787471705,-137.21955459185,3,3,3,1
46491.6229248047,46.4916229248047,3.58712652176292,46491.6229248047,46.4916229248047,3.58712652176292,-134.236120483608,-137.823247005371,3,3,3,1
44727.3254394531,44.7273254394531,3.33328399180495,44727.3254394531,44.7273254394531,3.33328399180495,-133.853394987819,-137.186678979624,3,3,3,1
46014.7857666016,46.0147857666016,2.98180367388574,46014.7857666016,46.0147857666016,2.98180367388574,-133.232657230246,-136.214460904132,3,2,3,0
45061.1114501953,45.0611114501953,2.79823837428351,45061.1114501953,45.0611114501953,2.79823837428351,-135.35034597828,-138.148584352563,3,2,3,0
46300.8880615234,46.3008880615234,1.48154543941269,46300.8880615234,46.3008880615234,1.48154543941269,-133.359016217481,-134.840561656893,3,2,3,0
