repeticion,fc_local_Hz,fc_local_kHz,score_local_dB,score_positivo_0dB,score_positivo_3dB
1,45490.2648925781,45.4902648925781,5.76424364634374,1,1
2,45347.2137451172,45.3472137451172,6.70546825291743,1,1
3,45490.2648925781,45.4902648925781,4.1103120435379,1,1
