Archivo,Condicion,Repeticion,Muestras,Fs_median_Hz,Fs_mean_Hz,Fs_duracion_Hz,Diferencia_mean_median_pct,Diferencia_duracion_mean_pct,Duracion_s
ON_10msdiv_10M_rep1.csv,ON,1,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
OFF_10msdiv_10M_rep1.csv,OFF,1,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
ON_10msdiv_10M_rep2.csv,ON,2,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
OFF_10msdiv_10M_rep2.csv,OFF,2,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
ON_10msdiv_10M_rep3.csv,ON,3,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
OFF_10msdiv_10M_rep3.csv,OFF,3,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
ON_10msdiv_10M_rep4.csv,ON,4,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
OFF_10msdiv_10M_rep4.csv,OFF,4,2800001,10000000.0004063,14000000,14000000,28.5714285685262,1.33046082087925e-14,0.2
