repeticion,fc_local_Hz,fc_local_kHz,score_local_dB,score_positivo_0dB,score_positivo_3dB
1,55568.6950683594,55.5686950683594,9.97475402046436,1,1
2,57197.5708007812,57.1975708007812,8.99366798560101,1,1
3,56983.9477539062,56.9839477539062,8.40543831647959,1,1
4,56489.9444580078,56.4899444580078,5.92465594583308,1,1
