LED,fc_ref_kHz,fc_det_kHz,score_dB,ON_dB,OFF_dB,rep_0dB,rep_3dB,rep_total,supera_3dB,err_kHz,err_pct
LED 1,56.513,56.610107421875,4.56705384824076,-125.796743308764,-130.363797157005,4,2,4,Si,0.097107421875009,0.171832006573725
LED 2,44.926,44.4602966308594,4.64684828177625,-125.534636773043,-130.181485054819,4,2,4,Si,0.46570336914062,1.0366010086378
