fc_kHz,score_peak,ON_dB,OFF_dB,rep_0dB,rep_3dB,rep_total,supera_3dB
35.675048828125,5.77573376610028,-124.806698225664,-130.582431991765,4,3,4,Si
37.5843048095703,5.28555660366466,-125.630011913976,-130.915568517641,4,4,4,Si
63.1389617919922,5.03071942717709,-126.404339945039,-131.435059372216,4,3,4,Si
33.6589813232422,4.7013737057068,-124.320427405288,-129.021801110994,4,2,4,Si
39.3466949462891,4.68003264027599,-125.145767483979,-129.825800124255,4,2,4,Si
44.4602966308594,4.64684828177625,-125.534636773043,-130.181485054819,4,2,4,Si
86.216926574707,4.6142300825275,-126.362961529342,-130.97719161187,4,3,4,Si
56.610107421875,4.56705384824076,-125.796743308764,-130.363797157005,4,2,4,Si
66.1497116088867,4.56483525361637,-126.352589823856,-130.917425077472,4,3,4,Si
75.495719909668,4.55162181362966,-126.573058779699,-131.124680593329,4,3,4,Si
53.0986785888672,4.47562133983258,-125.99194064665,-130.467561986482,4,2,4,Si
44.3601608276367,4.396481527938,-125.393557098633,-129.790038626571,4,2,4,Si
