fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_3dB,rep_totales,supera_3dB
40006.6375732422,40.0066375732422,3.40244285694063,40006.6375732422,40.0066375732422,3.40244285694063,-131.795798753967,-135.198241610908,3,2,3,0
40531.1584472656,40.5311584472656,2.40240309159575,40531.1584472656,40.5311584472656,2.40240309159575,-132.466302359362,-134.868705450958,3,1,3,0
40292.7398681641,40.2927398681641,1.78355855404142,40292.7398681641,40.2927398681641,1.78355855404142,-134.329527293379,-136.11308584742,3,1,3,0
41103.3630371094,41.1033630371094,1.24476122567184,41103.3630371094,41.1033630371094,1.24476122567184,-133.967337833643,-135.212099059315,3,2,3,0
41484.8327636719,41.4848327636719,1.21143580107515,41484.8327636719,41.4848327636719,1.21143580107515,-134.951876229125,-136.1633120302,3,3,3,0
40912.6281738281,40.9126281738281,1.12178460120404,40912.6281738281,40.9126281738281,1.12178460120404,-133.680315834787,-134.802100435991,3,3,3,0
40721.8933105469,40.7218933105469,0.0698951653444529,40817.2607421875,40.8172607421875,0.933404136119028,-133.246467620845,-134.179871756964,3,3,3,0
