fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_totales
56285.6941859677,56.2856941859677,16.7410809166543,56285.6941859677,56.2856941859677,16.7410809166543,-125.525568504092,-142.266649420746,4,4
43024.9846356823,43.0249846356823,14.9587064532643,43024.9846356823,43.0249846356823,14.9587064532643,-127.695705641736,-142.654412095,4,4
70707.1176074739,70.7071176074739,14.7689563921194,70707.1176074739,70.7071176074739,14.7689563921194,-127.764039182947,-142.532995575066,4,4
44321.4127441535,44.3214127441535,14.4931570487678,44321.4127441535,44.3214127441535,14.4931570487678,-128.37486740613,-142.868024454898,4,4
55699.9801094132,55.6999801094132,13.9186826499167,55699.9801094132,55.6999801094132,13.9186826499167,-127.373618256554,-141.292300906471,4,4
87149.9688785523,87.1499688785523,13.7185337871866,87149.9688785523,87.1499688785523,13.7185337871866,-129.880066104039,-143.598599891226,4,4
51789.2672202232,51.7892672202232,13.6321302679,51789.2672202232,51.7892672202232,13.6321302679,-133.96771833527,-147.59984860317,4,4
