fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_totales
45374.9837964924,45.3749837964924,15.197932308515,45374.9837964924,45.3749837964924,15.197932308515,-132.115614312759,-147.313546621274,4,4
75653.5444125225,75.6535444125225,14.6495083971486,75653.5444125225,75.6535444125225,14.6495083971486,-129.482034256094,-144.131542653243,4,4
84621.398352939,84.621398352939,14.3210638899656,84621.398352939,84.621398352939,14.3210638899656,-129.277815218583,-143.598879108549,4,4
55946.4085928416,55.9464085928416,14.0009243716921,55946.4085928416,55.9464085928416,14.0009243716921,-127.187854857865,-141.188779229557,4,4
30985.7032206508,30.9857032206508,13.8757735539933,30985.7032206508,30.9857032206508,13.8757735539933,-125.567939092682,-139.443712646675,4,4
71089.2603281528,71.0892603281528,13.6056569083948,71089.2603281528,71.0892603281528,13.6056569083948,-127.961193765452,-141.566850673847,4,4
85810.6836425283,85.8106836425283,13.2793518914466,85810.6836425283,85.8106836425283,13.2793518914466,-129.073103257804,-142.352455149251,4,4
