Metodo,fc_kHz,score_max,ON_dB,OFF_dB,rep_0dB,rep_3dB,rep_total,supera_3dB,err_ref_kHz,err_ref_pct
Periodograma,45.3749837964924,15.197932308515,-132.115614312759,-147.313546621274,4,4,4,Si,1.6203507620105e-05,3.57102096310855e-05
Welch,44.5810000018115,2.18464522956586,-129.46081307462,-131.645458304186,3,1,4,No,0.793999998188525,1.74986225496094
Multitaper local,44.8214125656025,6.88257713776835,-129.84912940314,-136.731706540909,4,4,4,Si,0.553587434397528,1.22002740363092
