LED,fc_ref_kHz,fc_detectada_kHz,score_dB,ON_dB,OFF_dB,rep_0dB,rep_3dB,rep_total,supera_3dB,err_ref_kHz,err_ref_pct
LED 1,56.513,55.6180000022599,19.175405483101,-122.738621821019,-141.91402730412,4,3,4,Si,0.894999997740058,1.58370639983731
LED 2,44.926,45.0590000018309,17.0419296625803,-124.380162663576,-141.422092326156,4,4,4,Si,0.133000001830894,0.296042384879343
