Archivo,Condicion,Repeticion,Muestras,Fs_Hz,Fs_MHz,Duracion_s,Media_raw_V,Std_raw_V
ON_10msdiv_10M_rep1.csv,ON,1,2800001,14000000,14,0.2,0.0863747841375481,0.000494750535676091
OFF_10msdiv_10M_rep1.csv,OFF,1,2800001,14000000,14,0.2,0.0110715048918485,0.000461395123917672
ON_10msdiv_10M_rep2.csv,ON,2,2800001,14000000,14,0.2,0.0863998029348128,0.000494732173208751
OFF_10msdiv_10M_rep2.csv,OFF,2,2800001,14000000,14,0.2,0.0111317912136319,0.000466385557605034
ON_10msdiv_10M_rep3.csv,ON,3,2800001,14000000,14,0.2,0.0861573586566431,0.000505238661985295
OFF_10msdiv_10M_rep3.csv,OFF,3,2800001,14000000,14,0.2,0.0108629848073913,0.000472227466684865
ON_10msdiv_10M_rep4.csv,ON,4,2800001,14000000,14,0.2,0.0856268053924129,0.000457577031331464
OFF_10msdiv_10M_rep4.csv,OFF,4,2800001,14000000,14,0.2,0.0115182681433902,0.00051090002023096
