punto,led,metodo,ranking,fc_kHz,score_dB,ON_prom_dB,OFF_prom_dB,rep_0dB,rep_3dB,rep_total,supera_3dB
P2,LED terreno 2,Periodograma,1,40.6230000016506,19.8125109521512,-127.307721280341,-147.120232232492,3,3,3,Si
P2,LED terreno 2,Periodograma,2,67.3890000027382,19.2664035482098,-129.644239699995,-148.910643248204,3,3,3,Si
P2,LED terreno 2,Periodograma,3,89.8160000036495,19.1253262573916,-127.033384461667,-146.158710719059,3,3,3,Si
P2,LED terreno 2,Periodograma,4,30.5080000012396,18.3137230574929,-125.497373962444,-143.811097019937,3,3,3,Si
P2,LED terreno 2,Periodograma,5,58.6430000023829,17.9738930104194,-131.447585778951,-149.421478789371,3,3,3,Si
P2,LED terreno 2,Periodograma,6,35.5650000014451,17.9444857777563,-124.880896094051,-142.825381871807,3,3,3,Si
P2,LED terreno 2,Periodograma,7,52.7850000021448,17.5503433315976,-128.614275858842,-146.164619190439,3,3,3,Si
