fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas,rep_totales,supera_3dB
57704.0000023447,57.7040000023447,18.4302643290939,57704.0000023447,57.7040000023447,18.4302643290939,-127.849849260728,-146.280113589822,4,4,1
30083.0000012224,30.0830000012224,16.3162232815897,30083.0000012224,30.0830000012224,16.3162232815897,-125.775107111108,-142.091330392698,4,4,1
46798.0000019016,46.7980000019016,15.2448669929249,46798.0000019016,46.7980000019016,15.2448669929249,-127.789039528475,-143.033906521399,4,4,1
81066.000003294,81.066000003294,15.1830284542529,81066.000003294,81.066000003294,15.1830284542529,-131.518997870155,-146.702026324407,4,4,1
74445.000003025,74.4450000030249,15.011302466739,74445.000003025,74.4450000030249,15.011302466739,-129.389581710966,-144.400884177705,4,4,1
38630.0000015697,38.6300000015697,14.8026113941084,38630.0000015697,38.6300000015697,14.8026113941084,-126.536568500716,-141.339179894824,4,4,1
64854.0000026352,64.8540000026352,14.4396207841978,64854.0000026352,64.8540000026352,14.4396207841978,-129.569685299151,-144.009306083349,4,4,1
